CCTV-1 综合,rtp://239.3.1.129:8008
CCTV-2 财经,rtp://239.3.1.60:8084
CCTV-3 综艺,rtp://239.3.1.172:8001
CCTV-4 中文国际,rtp://239.3.1.105:8092
CCTV-5 体育,rtp://239.3.1.173:8001
CCTV-6 电影,rtp://239.3.1.174:8001
CCTV-7 国防军事,rtp://239.3.1.61:8104
CCTV-8 电视剧,rtp://239.3.1.175:8001
CCTV-9 纪录,rtp://239.3.1.62:8112
CCTV-10 科教,rtp://239.3.1.63:8116
CCTV-11 戏曲,rtp://239.3.1.152:8120
CCTV-12 社会与法,rtp://239.3.1.64:8124
CCTV-13 新闻,rtp://239.3.1.124:8128
CCTV-14 少儿,rtp://239.3.1.65:8132
CCTV-15 音乐,rtp://239.3.1.153:8136
CCTV-16 奥林匹克,rtp://239.3.1.184:8001
CCTV-17 农业农村,rtp://239.3.1.151:8144
CCTV-4K 超高清[超清HDR],rtp://239.3.1.245:2000
CCTV-4 中文国际 欧洲,rtp://239.3.1.213:4220
CCTV-4 中文国际 美洲,rtp://239.3.1.214:4220
CCTV-5+ 体育赛事,rtp://239.3.1.130:8004
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
香港卫视[标清],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视[标清],http://zhibo.hkstv.tv/livestream/mutfysrq.flv
北京卫视,rtp://239.3.1.241:8000
北京文艺,rtp://239.3.1.242:8000
北京纪实科教,rtp://239.3.1.115:8000
北京影视,rtp://239.3.1.158:8000
北京财经,rtp://239.3.1.116:8000
北京生活,rtp://239.3.1.117:8000
北京体育休闲,rtp://239.3.1.243:8000
北京新闻,rtp://239.3.1.159:8000
北京国际频道,rtp://239.3.1.235:8000
淘精彩,rtp://239.3.1.178:8001
萌宠TV,rtp://239.3.1.102:8001
卡酷少儿高清,rtp://239.3.1.189:8000
淘BABY,rtp://239.3.1.238:8001
淘剧场,rtp://239.3.1.95:8001
淘电影,rtp://239.3.1.250:8001
淘娱乐,rtp://239.3.1.100:8001
4K超清,rtp://239.3.1.249:8001
爱上4K[超清],rtp://239.3.1.236:2000
[测试频道],rtp://239.3.1.97:8001
湖南卫视高清,rtp://239.3.1.132:8012
江苏卫视高清,rtp://239.3.1.135:8028
东方卫视高清,rtp://239.3.1.136:8032
浙江卫视高清,rtp://239.3.1.137:8036
湖北卫视高清,rtp://239.3.1.138:8044
天津卫视高清,rtp://239.3.1.141:1234
山东卫视高清,rtp://239.3.1.209:8052
辽宁卫视高清,rtp://239.3.1.210:8056
安徽卫视高清,rtp://239.3.1.211:8064
黑龙江卫视高清,rtp://239.3.1.133:8016
贵州卫视高清,rtp://239.3.1.149:8076
东南卫视高清,rtp://239.3.1.156:8148
重庆卫视高清,rtp://239.3.1.122:8160
江西卫视高清,rtp://239.3.1.123:8164
睛彩竞技,rtp://239.3.1.125:8001
睛彩篮球,rtp://239.3.1.126:8001
睛彩羽毛球,rtp://239.3.1.127:8001
睛彩广场舞,rtp://239.3.1.128:8001
广东卫视高清,rtp://239.3.1.142:8048
河北卫视高清,rtp://239.3.1.148:8072
深圳卫视高清,rtp://239.3.1.134:8020
纪实高清,rtp://239.3.1.212:8060
CETV1高清,rtp://239.3.1.57:8152
金鹰纪实高清（湖南）,rtp://239.3.1.58:8156
吉林卫视高清,rtp://239.3.1.240:8172
中国交通,rtp://239.3.1.188:8001
茶频道,rtp://239.3.1.165:8001
快乐垂钓,rtp://239.3.1.164:8001
朝阳融媒,rtp://239.3.1.163:8001
通州融媒,rtp://239.3.1.221:8001
密云电视台,rtp://239.3.1.154:8001
房山电视台,rtp://239.3.1.96:8001
星影[标清],rtp://239.3.1.94:4120
动作影院[标清],rtp://239.3.1.92:4120
光影[标清],rtp://239.3.1.84:4120
喜剧影院[标清],rtp://239.3.1.91:4120
家庭影院[标清],rtp://239.3.1.93:4120
精选[标清],rtp://239.3.1.74:4120
经典电影[标清],rtp://239.3.1.195:9024
地理[标清],rtp://239.3.1.71:4120
庐山市电视台,http://live02.jxtvcn.com.cn/live-jxtvcn/ganyun_lushan.m3u8
